"cohort_count","person_years","gender","age_group","calendar_year","incidence_rate","cohort_id","database_id"
0,9226.502395619438,,"10-19",1992,0,1,"SUBSET_AURUM"
0,9727.241615331965,,"10-19",1993,0,1,"SUBSET_AURUM"
0,10433.683778234086,,"10-19",1994,0,1,"SUBSET_AURUM"
0,11340.569472963723,,"10-19",1995,0,1,"SUBSET_AURUM"
0,12326.625598904859,,"10-19",1996,0,1,"SUBSET_AURUM"
0,13559.058179329226,,"10-19",1997,0,1,"SUBSET_AURUM"
0,14803.425051334703,,"10-19",1998,0,1,"SUBSET_AURUM"
0,16120.815879534566,,"10-19",1999,0,1,"SUBSET_AURUM"
0,17634.861054072553,,"10-19",2000,0,1,"SUBSET_AURUM"
0,19140.804928131416,,"10-19",2001,0,1,"SUBSET_AURUM"
0,20834.55715263518,,"10-19",2002,0,1,"SUBSET_AURUM"
0,22840.665297741274,,"10-19",2003,0,1,"SUBSET_AURUM"
0,25218.113620807664,,"10-19",2004,0,1,"SUBSET_AURUM"
0,27275.118412046544,,"10-19",2005,0,1,"SUBSET_AURUM"
0,29923.627652292947,,"10-19",2006,0,1,"SUBSET_AURUM"
0,32586.475017111567,,"10-19",2007,0,1,"SUBSET_AURUM"
0,35600.052019164956,,"10-19",2008,0,1,"SUBSET_AURUM"
0,38298.995208761124,,"10-19",2009,0,1,"SUBSET_AURUM"
0,41230.23682409309,,"10-19",2010,0,1,"SUBSET_AURUM"
0,44660.70636550308,,"10-19",2011,0,1,"SUBSET_AURUM"
0,47956.25188227242,,"10-19",2012,0,1,"SUBSET_AURUM"
0,47110.05612594113,,"10-19",2013,0,1,"SUBSET_AURUM"
0,44511.02532511979,,"10-19",2014,0,1,"SUBSET_AURUM"
-5,41681.70841889117,,"10-19",2015,-0.11995669538664777,1,"SUBSET_AURUM"
-5,38261.4045174538,,"10-19",2016,-0.13067999105257985,1,"SUBSET_AURUM"
-5,34319.73442847365,,"10-19",2017,-0.1456887730416617,1,"SUBSET_AURUM"
0,30244.484599589323,,"10-19",2018,0,1,"SUBSET_AURUM"
42,25844.736481861735,,"10-19",2019,1.6250891174485875,1,"SUBSET_AURUM"
0,18410.494182067076,,"10-19",2020,0,1,"SUBSET_AURUM"
